yearel,myoutcome,second,myoutcomenext,use,difshare,difgrp,mmyoutcomenext,mrunagain,mofficeexp,melectexp,mpmyoutcomenext,mprunagain,mpofficeexp,mpelectexp
1962,0,1,0,,-.46380049,107,,,,,,,,
1962,0,,0,,-.55851752,88,,,,,,,,
1964,1,,1,1,.70203865,340,.89999998,1,2.5,2.5,.82683557,.86423725,4.3552713,4.4159694
1964,0,1,0,,-.70203865,59,,,,,,,,
1964,0,,0,,-.82740337,34,,,,,,,,
1966,1,,0,1,.67153084,334,.8125,.875,3.8125,3.875,.8267737,.86670673,4.4486012,4.5108376
1966,0,1,0,,-.67153084,65,,,,,,,,
1968,1,,0,1,.58804756,317,.71428573,.85714287,5.1428571,5.2142859,.827977,.87345207,4.6754298,4.745255
1968,0,1,0,,-.58804756,82,,,,,,,,
1968,0,,1,,-.61304343,77,,,,,,,,
1968,0,,0,,-.68061322,63,,,,,,,,
1968,0,,0,,-.71624881,56,,,,,,,,
1970,1,,1,1,.67428434,334,.8125,.875,3.8125,3.875,.8267737,.86670673,4.4486012,4.5108376
1970,0,1,0,,-.67428434,65,,,,,,,,
1972,1,,1,1,.75478971,350,.75,.75,5,5.0833335,.82714766,.86009562,4.1839895,4.243041
1972,0,1,0,,-.75478971,49,,,,,,,,
1972,0,,0,,-.85218138,29,,,,,,,,
1974,1,,1,1,.93382561,386,.875,.875,6,6.25,.81735301,.85491943,3.6402164,3.6990733
1974,0,1,0,,-.93382561,13,,,,,,,,
1976,1,,0,1,.97144425,394,.5,.66666669,1.1666666,1.1666666,.8083818,.85793591,3.5754297,3.6341746
1976,0,1,0,,-.97144425,5,,,,,,,,
1978,1,,1,1,.95918036,391,.83333331,1,2.3333333,2.3333333,.81212091,.85660481,3.5952485,3.6540823
1978,0,1,0,,-.95918036,8,,,,,,,,
1980,1,,1,1,.97258687,394,.5,.66666669,1.1666666,1.1666666,.8083818,.85793591,3.5754297,3.6341746
1980,0,1,0,,-.97258687,5,,,,,,,,
1980,0,,0,,-.97383845,5,,,,,,,,
1982,1,,1,,.50470138,300,,,,,,,,
1982,0,1,0,1,-.50470138,99,0,.1875,0,.125,.00040092607,.12387041,.03697424,.21307486
1984,1,,1,,.56663585,313,,,,,,,,
1984,0,1,0,1,-.56663585,86,0,.40000001,0,0,.000052716263,.12048152,.060676098,.25860286
1986,1,,1,,.55271852,310,,,,,,,,
1986,0,1,0,1,-.55271852,89,0,.5,.25,.5,.000093676586,.12136269,.055519518,.24794143
1986,0,,0,,-.7427603,51,,,,,,,,
1988,1,,1,,.51392829,302,,,,,,,,
1988,0,1,0,1,-.51392829,97,0,0,0,.22222222,.00031151352,.12340402,.040920265,.22012165
1988,0,,0,,-.73476762,53,,,,,,,,
1990,1,,1,,.46982899,293,,,,,,,,
1990,0,1,0,1,-.46982899,106,0,0,0,.1,.00075582694,.12511276,.025384359,.19336015
1990,0,,0,,-.6713956,65,,,,,,,,
1992,1,,1,1,.28342718,256,.82222223,.86666667,3.4000001,3.6222222,.83161044,.87910217,4.2751632,4.4183254
1992,0,1,0,,-.28342718,143,,,,,,,,
1992,0,,0,,-.59804428,80,,,,,,,,
1994,1,,1,1,.3582615,271,.79069769,.83720928,4.3488374,4.4186049,.83603591,.8808046,4.6066046,4.7246518
1994,0,1,0,,-.3582615,128,,,,,,,,
1994,0,,0,,-.65109164,69,,,,,,,,
1996,1,,1,1,.39214867,278,.90476191,.90476191,4.9761906,5.0238094,.83582008,.88092548,4.7039347,4.811635
1996,0,1,0,,-.39214867,121,,,,,,,,
1996,0,,0,,-.59100497,81,,,,,,,,
1998,1,,,,.48442578,296,,,,,,,,
1998,0,1,,,-.48442578,103,,,,,,,,
1946,1,,1,1,.25071514,250,.87179488,.92307693,4.5641026,4.6666665,.82690763,.87790829,4.0876942,4.2423286
1946,0,1,0,,-.25071514,149,,,,,,,,
1948,1,,1,1,.59567118,319,.93333334,.93333334,6.0666666,6.0666666,.82769436,.87268966,4.6522751,4.7208819
1948,0,1,0,,-.59567118,80,,,,,,,,
1948,0,,0,,-.69708127,60,,,,,,,,
1950,1,,1,1,.36086935,272,.91891891,.94594592,4.1621623,4.3243241,.83607382,.88085085,4.6229844,4.739471
1950,0,1,0,,-.36086935,127,,,,,,,,
1950,0,,0,,-.54392606,91,,,,,,,,
1952,1,,1,1,.33215117,266,.8611111,.91666669,4.5555553,4.6666665,.83545309,.8804518,4.5168161,4.6426549
1952,0,1,0,,-.33215117,133,,,,,,,,
1952,0,,0,,-.44165403,111,,,,,,,,
1952,0,,0,,-.54705256,90,,,,,,,,
1954,1,,0,1,.50009412,300,.83999997,.88,4.6799998,4.7600002,.8313306,.87831092,4.7896185,4.8720908
1954,0,1,0,,-.50009412,99,,,,,,,,
1954,0,,0,,-.55376536,89,,,,,,,,
1954,0,,0,,-.65995032,68,,,,,,,,
1956,1,,1,1,.39375147,278,.90476191,.90476191,4.9761906,5.0238094,.83582008,.88092548,4.7039347,4.811635
1956,0,1,0,,-.39375147,121,,,,,,,,
1956,0,,0,,-.52819651,94,,,,,,,,
1958,1,,1,1,.44698709,289,.80555558,.83333331,4.5555553,4.6111112,.83396304,.8801915,4.7843814,4.8782907
1958,0,1,0,,-.44698709,110,,,,,,,,
1958,0,,0,,-.51011229,97,,,,,,,,
1960,1,,1,1,.44387472,288,.82857144,.82857144,4.9714284,5.0857143,.83416378,.88029671,4.7806129,4.8755894
1960,0,1,0,,-.44387472,111,,,,,,,,
1960,0,,0,,-.50596553,98,,,,,,,,
1962,1,,1,1,.49937475,299,.85714287,.88571429,5.2285714,5.3142858,.83158296,.87853694,4.7921391,4.8755856
1962,0,1,0,,-.49937475,100,,,,,,,,
1962,0,,0,,-.61304641,77,,,,,,,,
1964,1,,1,1,.69780123,339,.7368421,.78947371,3,3.1052632,.82681793,.86457556,4.3683844,4.4292655
1964,0,1,0,,-.69780123,60,,,,,,,,
1964,0,,0,,-.75719452,48,,,,,,,,
1964,0,,0,,-.80754155,38,,,,,,,,
1966,1,,0,1,.54937935,309,.86956519,.86956519,5.0434785,5.2173915,.82933086,.87599826,4.7450628,4.8201122
1966,0,1,0,,-.54937935,90,,,,,,,,
1966,0,,0,,-.67771471,64,,,,,,,,
1968,1,,0,1,.64226884,328,.80000001,.85000002,3.45,3.5,.82693052,.86923236,4.5386448,4.6030178
1968,0,1,0,,-.64226884,71,,,,,,,,
1968,0,,0,,-.68758225,62,,,,,,,,
1968,0,,0,,-.72212845,55,,,,,,,,
1968,0,,0,,-.75738347,48,,,,,,,,
1970,1,,0,1,.43171418,286,.90196079,.92156863,4.8627453,4.9607844,.8345865,.88050121,4.7703891,4.8677864
1970,0,1,0,,-.43171418,113,,,,,,,,
1972,1,,1,1,.52958512,305,.89473683,.89473683,6.5263157,6.5789475,.83016521,.87709761,4.7695785,4.8476939
1972,0,1,0,,-.52958512,94,,,,,,,,
1974,1,,1,1,.76148599,352,1,1,4.5384617,4.6153846,.82719409,.85931903,4.1489186,4.2077723
1974,0,1,0,,-.76148599,47,,,,,,,,
1974,0,,0,,-.79247946,41,,,,,,,,
1976,1,,1,1,.75910014,351,.80000001,.89999998,4.0999999,4.0999999,.82717323,.85969877,4.1662178,4.2251644
1976,0,1,0,,-.75910014,48,,,,,,,,
1976,0,,0,,-.83145082,33,,,,,,,,
1978,1,,1,1,.68183053,336,.80000001,.89999998,3.2,3.2,.82677406,.86596859,4.421267,4.4829931
1978,0,1,0,,-.68183053,63,,,,,,,,
1980,1,,0,1,.71325701,342,.90909094,.90909094,4.4545455,4.5454545,.82689643,.86328858,4.3178992,4.3781252
1980,0,1,0,,-.71325701,57,,,,,,,,
1980,0,,0,,-.80402458,39,,,,,,,,
1982,1,,1,,.13222519,226,,,,,,,,
1982,0,1,0,1,-.13222519,173,0,.16666667,.5,.69999999,.023707964,.1940695,.36904097,.60514724
1982,0,,0,,-.50141144,99,,,,,,,,
1982,0,,0,,-.50633442,98,,,,,,,,
1982,0,,0,,-.50699997,98,,,,,,,,
1984,1,,1,,.41021255,282,,,,,,,,
1984,0,1,0,1,-.41021255,117,.035714287,.10714286,.071428575,.21428572,.0014309605,.12661837,.013322881,.17452848
1984,0,,0,,-.64614272,70,,,,,,,,
1986,1,,1,,.4230701,284,,,,,,,,
1986,0,1,0,1,-.4230701,115,0,.1875,.09375,.28125,.0013028039,.12635364,.014688049,.17653011
1986,0,,0,,-.66111338,67,,,,,,,,
1988,1,,1,,.44154984,288,,,,,,,,
1988,0,1,0,1,-.44154984,111,0,.13636364,0,.27272728,.0010574106,.12583917,.018557431,.18243621
1988,0,,0,,-.68323714,63,,,,,,,,
1990,1,,1,,.42002374,284,,,,,,,,
1990,0,1,0,1,-.42002374,115,0,.1875,.09375,.28125,.0013028039,.12635364,.014688049,.17653011
1990,0,,0,,-.63828003,72,,,,,,,,
1992,1,,1,,.30851623,261,,,,,,,,
1992,0,1,0,1,-.30851623,138,.029411765,.14705883,0,.32352942,.0030397284,.13173442,.037869286,.20912172
1994,1,,1,,.46863082,293,,,,,,,,
1994,0,1,0,1,-.46863082,106,0,0,0,.1,.00075582694,.12511276,.025384359,.19336015
1996,1,,0,,.20952344,241,,,,,,,,
1996,0,1,0,1,-.20952344,158,0,.19148937,.08510638,.29787233,.0081001045,.151566,.16638574,.37076825
1998,1,,,,.13257894,226,,,,,,,,
1998,0,1,,,-.13257894,173,,,,,,,,
1998,0,,,,-.52708703,94,,,,,,,,
1946,1,,1,1,.18222177,236,.83333331,.87037039,3.4814816,3.5925925,.80530518,.87427485,3.5250316,3.708955
1946,0,1,0,,-.18222177,163,,,,,,,,
1946,0,,0,,-.22599889,154,,,,,,,,
1946,0,,0,,-.32853889,134,,,,,,,,
1948,1,,0,1,.65985548,331,.58333331,.66666669,5.4166665,5.5,.82681763,.86795658,4.4938326,4.5570459
1948,0,1,0,,-.65985548,68,,,,,,,,
1950,1,,1,1,.36955529,273,.79545456,.86363637,5.5454545,5.659091,.83608598,.88088757,4.6386638,4.753602
1950,0,1,0,,-.36955529,126,,,,,,,,
1950,0,,0,,-.4065485,118,,,,,,,,
1950,0,,0,,-.47696796,104,,,,,,,,
1952,1,,1,1,.44873995,289,.80555558,.83333331,4.5555553,4.6111112,.83396304,.8801915,4.7843814,4.8782907
1952,0,1,0,,-.44873995,110,,,,,,,,
1952,0,,0,,-.52075887,95,,,,,,,,
1952,0,,0,,-.58230668,83,,,,,,,,
1954,1,,1,1,.62732267,325,1,1,3.2857144,3.5714285,.82711577,.87045491,4.5802302,4.6458964
1954,0,1,0,,-.62732267,74,,,,,,,,
1954,0,,0,,-.64163703,71,,,,,,,,
1956,1,,1,1,.46643001,293,.81481481,.92592591,4.2592592,4.2592592,.83302575,.87963265,4.7946901,4.8841076
1956,0,1,0,,-.46643001,106,,,,,,,,
1956,0,,0,,-.58867478,82,,,,,,,,
1958,1,,0,1,.53720427,307,.86363637,.86363637,4.090909,4.1363635,.82972854,.87655222,4.7579923,4.8345046
1958,0,1,0,,-.53720427,92,,,,,,,,
1958,0,,0,,-.60669953,78,,,,,,,,
1960,1,,1,1,.53117037,306,.7647059,.82352942,4.0588236,4.0588236,.82999015,.87688637,4.7652497,4.8427219
1960,0,1,0,,-.53117037,93,,,,,,,,
1960,0,,0,,-.58614039,82,,,,,,,,
1962,1,,0,1,.23499146,246,.73770493,.81967211,3.4754097,3.7868853,.82249099,.87698215,3.9458523,4.1084652
1962,0,1,0,,-.23499146,153,,,,,,,,
1962,0,,0,,-.39825535,120,,,,,,,,
1964,1,,1,1,.51223773,302,.93333334,1,5.1999998,5.1999998,.83086663,.87786436,4.7833776,4.8640919
1964,0,1,0,,-.51223773,97,,,,,,,,
1964,0,,0,,-.64320832,71,,,,,,,,
1964,0,,0,,-.69685787,60,,,,,,,,
1966,1,,1,1,.54506874,309,.86956519,.86956519,5.0434785,5.2173915,.82933086,.87599826,4.7450628,4.8201122
1966,0,1,0,,-.54506874,90,,,,,,,,
1966,0,,0,,-.65603518,68,,,,,,,,
1968,1,,1,1,.4375205,287,.83333331,.8888889,4.5833335,4.75,.83438462,.8804065,4.7757015,4.8719091
1968,0,1,0,,-.4375205,112,,,,,,,,
1970,1,,1,1,.60522878,321,.71428573,.76190478,4.2857141,4.2857141,.82746434,.87194985,4.6290593,4.6965985
1970,0,1,0,,-.60522878,78,,,,,,,,
1970,0,,0,,-.679887,64,,,,,,,,
1972,1,,1,,.0070782602,201,,,,,,,,
1972,0,1,0,1,-.0070782602,198,.1627907,.48837209,.81395346,1.0930233,.13445753,.42159691,.9975844,1.2685958
1974,1,,0,,.15238512,230,,,,,,,,
1974,0,1,0,1,-.15238512,169,0,.11764706,.43137255,.94117647,.017453836,.17894067,.30435181,.53204793
1976,1,,0,1,.010511428,202,.58139533,.83720928,1.255814,1.5116279,.60814923,.8648122,1.358601,1.625785
1976,0,1,0,,-.010511428,197,,,,,,,,
1976,0,,0,,-.38066655,123,,,,,,,,
1978,1,,1,1,.053658664,210,.60869563,.9130435,2,2.0652175,.68490428,.86656767,1.97565,2.2220385
1978,0,1,0,,-.053658664,189,,,,,,,,
1978,0,,0,,-.49459445,101,,,,,,,,
1980,1,,0,1,.12442958,224,.77142859,.91428572,4.0857143,4.3428574,.76828068,.87065113,2.900142,3.1115191
1980,0,1,0,,-.12442958,175,,,,,,,,
1982,1,,1,1,.56941545,313,.82352942,.94117647,5.352941,5.4117646,.82859355,.87477654,4.7133965,4.7856789
1982,0,1,0,,-.56941545,86,,,,,,,,
1982,0,,0,,-.72164398,55,,,,,,,,
1982,0,,0,,-.75576514,48,,,,,,,,
1982,0,,0,,-.75789398,48,,,,,,,,
1984,1,,1,1,.55855381,311,.93333334,.93333334,5.3333335,5.3333335,.82897192,.87544072,4.7310934,4.8048096
1984,0,1,0,,-.55855381,88,,,,,,,,
1984,0,,0,,-.77529508,44,,,,,,,,
1986,1,,0,1,.92770374,385,.75,.875,3.625,3.625,.81827724,.85466146,3.6513741,3.7102189
1986,0,1,0,,-.92770374,14,,,,,,,,
1988,1,,1,1,.23491898,246,.73770493,.81967211,3.4754097,3.7868853,.82249099,.87698215,3.9458523,4.1084652
1988,0,1,0,,-.23491898,153,,,,,,,,
1990,1,,1,1,.28130755,256,.82222223,.86666667,3.4000001,3.6222222,.83161044,.87910217,4.2751632,4.4183254
1990,0,1,0,,-.28130755,143,,,,,,,,
1992,1,,1,,.35481331,270,,,,,,,,
1992,0,1,0,1,-.35481331,129,0,.029411765,0,.23529412,.0022228365,.12865496,.017090227,.18038908
1992,0,,0,,-.5967623,80,,,,,,,,
1992,0,,0,,-.59984434,80,,,,,,,,
1992,0,,0,,-.63014996,73,,,,,,,,
1994,1,,1,,.47425318,294,,,,,,,,
1994,0,1,0,1,-.47425318,105,0,.12,0,.079999998,.00069945888,.12495412,.0269244,.1958974
1994,0,,0,,-.64179999,71,,,,,,,,
1996,1,,1,,.38304067,276,,,,,,,,
1996,0,1,0,1,-.38304067,123,0,0,0,.15384616,.0018121249,.12747876,.012407057,.17342171
1996,0,,0,,-.58749944,82,,,,,,,,
1996,0,,0,,-.60322064,79,,,,,,,,
1998,1,,,,.61530471,323,,,,,,,,
1998,0,1,,,-.61530471,76,,,,,,,,
1946,1,,0,1,.16929215,233,.78947371,.81578946,3.2894738,3.4473684,.79789972,.87337434,3.3786855,3.5694075
1946,0,1,0,,-.16929215,166,,,,,,,,
1946,0,,0,,-.25151688,149,,,,,,,,
1946,0,,0,,-.34620225,130,,,,,,,,
1948,1,,1,1,.26103413,252,.8125,.84375,3.59375,3.875,.82865345,.87831962,4.1513143,4.3021908
1948,0,1,0,,-.26103413,147,,,,,,,,
1950,1,,1,1,.49536932,299,.85714287,.88571429,5.2285714,5.3142858,.83158296,.87853694,4.7921391,4.8755856
1950,0,1,0,,-.49536932,100,,,,,,,,
1950,0,,0,,-.50141782,99,,,,,,,,
1950,0,,0,,-.50163502,99,,,,,,,,
1952,1,,1,1,.13686654,227,.84615386,.88461536,3.7692308,3.9807692,.77934843,.87153876,3.0634527,3.2680206
1952,0,1,0,,-.13686654,172,,,,,,,,
1952,0,,0,,-.2987051,140,,,,,,,,
1952,0,,0,,-.4236275,115,,,,,,,,
1954,1,,1,1,.3175649,263,.71428573,.74285716,4.3428574,4.3714285,.83470297,.88012642,4.4515443,4.5824676
1954,0,1,0,,-.3175649,136,,,,,,,,
1954,0,,0,,-.4315989,113,,,,,,,,
1956,1,,1,1,.22407889,244,.7719298,.82456142,3.3157895,3.4385965,.81984031,.87648612,3.869988,4.0366759
1956,0,1,0,,-.22407889,155,,,,,,,,
1956,0,,0,,-.41672939,116,,,,,,,,
1958,1,,1,1,.27968565,255,.90697676,.93023258,3.7441862,3.8372092,.83096814,.87892085,4.245985,4.3910184
1958,0,1,0,,-.27968565,144,,,,,,,,
1958,0,,0,,-.40714309,118,,,,,,,,
1960,1,,1,1,.29219279,258,.8974359,.8974359,5.2564101,5.4102564,.83270544,.87943077,4.3291259,4.4687276
1960,0,1,0,,-.29219279,141,,,,,,,,
1960,0,,0,,-.40535635,118,,,,,,,,
1962,1,,0,,.24218109,248,,,,,,,,
1962,0,1,0,1,-.24218109,151,.018518519,.09259259,.31481481,.51851851,.0054228315,.14165546,.10627863,.29722643
1962,0,,0,,-.56165451,87,,,,,,,,
1964,1,,0,,.25940561,251,,,,,,,,
1964,0,1,0,1,-.25940561,148,0,.046511628,.069767445,.53488374,.0046650469,.13858181,.086015813,.27175856
1964,0,,0,,-.57635546,84,,,,,,,,
1966,1,,0,,.30486232,260,,,,,,,,
1966,0,1,0,1,-.30486232,139,0,.25,.041666668,.083333336,.0031499774,.132192,.041169193,.21354765
1966,0,,0,,-.61199981,77,,,,,,,,
1968,1,,1,1,.26707977,253,.8611111,.94444442,3.75,3.9444444,.82947636,.87852508,4.1833878,4.3323207
1968,0,1,0,,-.26707977,146,,,,,,,,
1968,0,,0,,-.54890841,90,,,,,,,,
1970,1,,1,1,.44922099,289,.80555558,.83333331,4.5555553,4.6111112,.83396304,.8801915,4.7843814,4.8782907
1970,0,1,0,,-.44922099,110,,,,,,,,
1970,0,,0,,-.64651662,70,,,,,,,,
1972,1,,0,1,.044299483,208,.62903225,.80645162,1.8548387,2.032258,.66749591,.86605817,1.8228734,2.0745757
1972,0,1,0,,-.044299483,191,,,,,,,,
1974,1,,0,1,.15668222,231,.89473683,.92105263,3.2894738,3.3421052,.79229605,.87276435,3.2767668,3.4720764
1974,0,1,0,,-.15668222,168,,,,,,,,
1976,1,,1,1,.10190591,220,.74358976,.87179488,3.2564104,3.4615386,.7493633,.86938769,2.6508601,2.8722246
1976,0,1,0,,-.10190591,179,,,,,,,,
1976,0,,0,,-.53341311,93,,,,,,,,
1978,1,,1,1,.13346425,226,.73170733,.82926828,2.3170731,2.4878049,.77585834,.87124503,3.0103211,3.217129
1978,0,1,0,,-.13346425,173,,,,,,,,
1978,0,,0,,-.5501439,89,,,,,,,,
1978,0,,0,,-.55929887,88,,,,,,,,
1980,1,,1,1,.19870904,239,.80555558,.8888889,3.6666667,3.9722223,.81150085,.87513131,3.6605484,3.8379252
1980,0,1,0,,-.19870904,160,,,,,,,,
1980,0,,0,,-.58438593,83,,,,,,,,
1982,1,,1,,.47884703,295,,,,,,,,
1982,0,1,0,1,-.47884703,104,0,.2,0,.1,.00064311398,.1247848,.028558966,.1986181
1984,1,,1,,.46310329,292,,,,,,,,
1984,0,1,0,1,-.46310329,107,0,.19354838,0,.096774191,.0008137906,.12526631,.023894269,.19093013
1986,1,,1,,.40874422,281,,,,,,,,
1986,0,1,0,1,-.40874422,118,0,.22222222,0,.25925925,.0014948731,.12675279,.012828397,.17382558
1988,1,,1,,.44765678,289,,,,,,,,
1988,0,1,0,1,-.44765678,110,0,.041666668,0,.20833333,.00099916745,.1257104,.019700615,.18422605
1990,1,,1,,.36280689,272,,,,,,,,
1990,0,1,0,1,-.36280689,127,0,.12820514,0,.1025641,.0020781979,.12820603,.014808605,.1770665
1992,1,,1,,.37092736,274,,,,,,,,
1992,0,1,0,1,-.37092736,125,0,.22857143,0,.11428571,.0019445897,.12782505,.013293211,.17480305
1992,0,,0,,-.47493148,105,,,,,,,,
1992,0,,0,,-.5862813,82,,,,,,,,
1994,1,,1,,.57105315,314,,,,,,,,
1994,0,1,0,1,-.57105315,85,0,.18181819,0,0,.000043275595,.12019192,.062241118,.26195335
1996,1,,1,,.4611122,292,,,,,,,,
1996,0,1,0,1,-.4611122,107,0,.19354838,0,.096774191,.0008137906,.12526631,.023894269,.19093013
1996,0,,0,,-.67259365,65,,,,,,,,
1998,1,,,,.58006132,316,,,,,,,,
1998,0,1,,,-.58006132,83,,,,,,,,
1946,1,,1,1,.0019937754,200,.57446808,.80851066,1.7021277,2,.58339572,.86446267,1.1838278,1.4566008
1946,0,1,0,,-.0019937754,199,,,,,,,,
1946,0,,0,,-.1503177,169,,,,,,,,
1946,0,,0,,-.21612525,156,,,,,,,,
1946,0,,0,,-.25767663,148,,,,,,,,
1948,1,,1,1,.64326084,328,.80000001,.85000002,3.45,3.5,.82693052,.86923236,4.5386448,4.6030178
1948,0,1,0,,-.64326084,71,,,,,,,,
1950,1,,1,1,.17304659,234,.85714287,.9285714,3.1428571,3.1904762,.80069494,.87370056,3.4322157,3.6204813
1950,0,1,0,,-.17304659,165,,,,,,,,
1950,0,,0,,-.31571677,136,,,,,,,,
1950,0,,0,,-.38276586,123,,,,,,,,
1952,1,,1,,.096544117,219,,,,,,,,
1952,0,1,0,1,-.096544117,180,.05882353,.19607843,1.0196079,1.3333334,.041222304,.23095377,.50523365,.75522101
1952,0,,0,,-.42256689,115,,,,,,,,
1952,0,,0,,-.48404729,103,,,,,,,,
1954,1,,1,,.072897136,214,,,,,,,,
1954,0,1,0,1,-.072897136,185,.06122449,.18367347,.6122449,.91836733,.060147043,.26719928,.61908001,.87746882
1954,0,,0,,-.43941081,112,,,,,,,,
1956,1,,1,,.23821312,247,,,,,,,,
1956,0,1,0,1,-.23821312,152,0,.23214285,0,.125,.0057195225,.14282523,.11376886,.30654219
1956,0,,0,,-.54270804,91,,,,,,,,
1958,1,,1,,.15522993,231,,,,,,,,
1958,0,1,0,1,-.15522993,168,.027027028,.13513513,.054054055,.16216215,.016281692,.17589901,.2905184,.51623505
1960,1,,1,,.24328732,248,,,,,,,,
1960,0,1,0,1,-.24328732,151,.018518519,.09259259,.31481481,.51851851,.0054228315,.14165546,.10627863,.29722643
1960,0,,0,,-.55046105,89,,,,,,,,
1962,1,,0,,.2299718,245,,,,,,,,
1962,0,1,0,1,-.2299718,154,0,.25581396,.069767445,.23255815,.0063754525,.14534442,.12951401,.32597172
1964,1,,1,1,.12436429,224,.77142859,.91428572,4.0857143,4.3428574,.76828068,.87065113,2.900142,3.1115191
1964,0,1,0,,-.12436429,175,,,,,,,,
1966,1,,1,1,.09290266,218,.78431374,.88235295,3.0196078,3.1568627,.73888135,.86879593,2.5254352,2.751658
1966,0,1,0,,-.09290266,181,,,,,,,,
1968,1,,0,1,.23880121,247,.88235295,.94117647,4.7058825,4.7941175,.82363492,.87720883,3.9804931,4.1412029
1968,0,1,0,,-.23880121,152,,,,,,,,
1968,0,,0,,-.51809686,96,,,,,,,,
1970,1,,1,,.055052519,211,,,,,,,,
1970,0,1,0,1,-.055052519,188,.11320755,.26415095,.60377359,.81132078,.074640334,.29446054,.6958738,.95856428
1970,0,,0,,-.2516616,149,,,,,,,,
1970,0,,0,,-.39342898,121,,,,,,,,
1972,1,,0,,.35889864,271,,,,,,,,
1972,0,1,0,1,-.35889864,128,0,.16216215,0,.081081077,.0021480527,.12841816,.015832061,.17856599
1972,0,,1,,-.53994322,92,,,,,,,,
1972,0,,0,,-.61390024,77,,,,,,,,
1974,1,,1,,.31717145,263,,,,,,,,
1974,0,1,0,1,-.31717145,136,0,.13725491,.11764706,.23529412,.0028183979,.13083512,.031428855,.20039888
1974,0,,0,,-.64084458,71,,,,,,,,
1976,1,,1,,.41078413,282,,,,,,,,
1976,0,1,0,1,-.41078413,117,.035714287,.10714286,.071428575,.21428572,.0014309605,.12661837,.013322881,.17452848
1978,1,,1,,.56934619,313,,,,,,,,
1978,0,1,0,1,-.56934619,86,0,.40000001,0,0,.000052716263,.12048152,.060676098,.25860286
1978,0,,0,,-.77772242,44,,,,,,,,
1980,1,,1,,.61927617,323,,,,,,,,
1980,0,1,0,1,-.61927617,76,0,0,0,.33333334,3.7089681e-06,.11710281,.075492479,.2937369
1982,1,,1,,.1335395,226,,,,,,,,
1982,0,1,0,1,-.1335395,173,0,.16666667,.5,.69999999,.023707964,.1940695,.36904097,.60514724
1982,0,,0,,-.54012835,91,,,,,,,,
1984,1,,1,,.45576835,291,,,,,,,,
1984,0,1,0,1,-.45576835,108,0,.1,.40000001,.75,.00087465544,.1254192,.022421952,.18855278
1986,1,,1,,.46566367,293,,,,,,,,
1986,0,1,0,1,-.46566367,106,0,0,0,.1,.00075582694,.12511276,.025384359,.19336015
1986,0,,0,,-.6037702,79,,,,,,,,
1988,1,,1,,,,,,,,,,,
1990,1,,1,,.67874372,335,,,,,,,,
1990,0,1,0,,-.67874372,64,,,,,,,,
1992,1,,1,,.11455283,222,,,,,,,,
1992,0,1,0,1,-.11455283,177,.01923077,.17307693,.55769229,.69230771,.032404345,.21307094,.4423925,.68655396
1994,1,,1,,.15215218,230,,,,,,,,
1994,0,1,0,1,-.15215218,169,0,.11764706,.43137255,.94117647,.017453836,.17894067,.30435181,.53204793
1996,1,,1,,.10218799,220,,,,,,,,
1996,0,1,0,1,-.10218799,179,.02,.2,.28,.63999999,.038104519,.22474398,.48400071,.73212194
1998,1,,,,.38784528,277,,,,,,,,
1998,0,1,,,-.38784528,122,,,,,,,,
1946,1,,0,,.068319082,213,,,,,,,,
1946,0,1,0,1,-.068319082,186,.13043478,.30434781,.26086956,.41304347,.064827502,.27599248,.64455962,.90449029
1946,0,,0,,-.30902338,138,,,,,,,,
1946,0,,0,,-.38679957,122,,,,,,,,
1948,1,,1,1,.20608643,241,.85714287,.90476191,3.8571429,4.0952382,.81510997,.87568462,3.7466455,3.9197195
1948,0,1,0,,-.20608643,158,,,,,,,,
1948,0,,0,,-.43785951,112,,,,,,,,
1950,1,,0,1,.18242061,236,.83333331,.87037039,3.4814816,3.5925925,.80530518,.87427485,3.5250316,3.708955
1950,0,1,0,,-.18242061,163,,,,,,,,
1950,0,,0,,-.428184,114,,,,,,,,
1950,0,,0,,-.44441718,111,,,,,,,,
1952,1,,1,,.35310251,270,,,,,,,,
1952,0,1,0,1,-.35310251,129,0,.029411765,0,.23529412,.0022228365,.12865496,.017090227,.18038908
1952,0,,0,,-.66597682,66,,,,,,,,
1954,1,,0,,.2801255,256,,,,,,,,
1954,0,1,0,1,-.2801255,143,0,.25641027,.051282052,.25641027,.0036897485,.13447531,.057565112,.23519635
1956,1,,1,,.34897029,269,,,,,,,,
1956,0,1,0,1,-.34897029,130,0,.12,.16,.47999999,.0022960575,.1288963,.018473538,.18237375
1958,1,,1,,.26393926,252,,,,,,,,
1958,0,1,0,1,-.26393926,147,0,.14285715,.085714288,.31428573,.0044301627,.13760546,.079394713,.26334229
1960,1,,0,,.051375508,210,,,,,,,,
1960,0,1,0,1,-.051375508,189,.079999998,.30000001,.36000001,.54000002,.080078073,.30478385,.72342569,.98741925
1962,1,,1,,.21820286,243,,,,,,,,
1962,0,1,0,1,-.21820286,156,0,.11111111,.022222223,.17777778,.0071723945,.14828786,.14729507,.34768903
1964,1,,1,,.12647557,225,,,,,,,,
1964,0,1,0,1,-.12647557,174,.018867925,.11320755,.26415095,.50943398,.025672546,.19852643,.3869493,.625157
1964,0,,0,,-.52016956,95,,,,,,,,
1966,1,,1,,.43932042,287,,,,,,,,
